IDX,dataset,corruption,severity,fileindex,filename,label,filepath,binarylabel
6593,MRI,clean,clean,Tr-gl_0109,Tr-gl_0109.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0109.jpg,1
6594,MRI,clean,clean,Tr-gl_0110,Tr-gl_0110.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0110.jpg,1
6595,MRI,clean,clean,Tr-gl_0111,Tr-gl_0111.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0111.jpg,1
6596,MRI,clean,clean,Tr-gl_0112,Tr-gl_0112.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0112.jpg,1
6597,MRI,clean,clean,Tr-gl_0113,Tr-gl_0113.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0113.jpg,1
6598,MRI,clean,clean,Tr-gl_0114,Tr-gl_0114.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0114.jpg,1
6599,MRI,clean,clean,Tr-gl_0115,Tr-gl_0115.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0115.jpg,1
6600,MRI,clean,clean,Tr-gl_0116,Tr-gl_0116.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0116.jpg,1
6601,MRI,clean,clean,Tr-gl_0117,Tr-gl_0117.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0117.jpg,1
6602,MRI,clean,clean,Tr-gl_0118,Tr-gl_0118.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0118.jpg,1
6603,MRI,clean,clean,Tr-gl_0119,Tr-gl_0119.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0119.jpg,1
6604,MRI,clean,clean,Tr-gl_0120,Tr-gl_0120.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0120.jpg,1
6605,MRI,clean,clean,Tr-gl_0121,Tr-gl_0121.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0121.jpg,1
6606,MRI,clean,clean,Tr-gl_0122,Tr-gl_0122.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0122.jpg,1
6607,MRI,clean,clean,Tr-gl_0123,Tr-gl_0123.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0123.jpg,1
6608,MRI,clean,clean,Tr-gl_0124,Tr-gl_0124.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0124.jpg,1
6609,MRI,clean,clean,Tr-gl_0125,Tr-gl_0125.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0125.jpg,1
6610,MRI,clean,clean,Tr-gl_0126,Tr-gl_0126.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0126.jpg,1
6611,MRI,clean,clean,Tr-gl_0127,Tr-gl_0127.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0127.jpg,1
6612,MRI,clean,clean,Tr-gl_0128,Tr-gl_0128.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0128.jpg,1
6613,MRI,clean,clean,Tr-gl_0129,Tr-gl_0129.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0129.jpg,1
6614,MRI,clean,clean,Tr-gl_0130,Tr-gl_0130.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0130.jpg,1
6615,MRI,clean,clean,Tr-gl_0131,Tr-gl_0131.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0131.jpg,1
6616,MRI,clean,clean,Tr-gl_0132,Tr-gl_0132.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0132.jpg,1
6617,MRI,clean,clean,Tr-gl_0133,Tr-gl_0133.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0133.jpg,1
6618,MRI,clean,clean,Tr-gl_0134,Tr-gl_0134.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0134.jpg,1
6619,MRI,clean,clean,Tr-gl_0135,Tr-gl_0135.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0135.jpg,1
6620,MRI,clean,clean,Tr-gl_0136,Tr-gl_0136.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0136.jpg,1
6621,MRI,clean,clean,Tr-gl_0137,Tr-gl_0137.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0137.jpg,1
6622,MRI,clean,clean,Tr-gl_0138,Tr-gl_0138.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0138.jpg,1
6623,MRI,clean,clean,Tr-gl_0139,Tr-gl_0139.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0139.jpg,1
6624,MRI,clean,clean,Tr-gl_0140,Tr-gl_0140.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0140.jpg,1
6625,MRI,clean,clean,Tr-gl_0141,Tr-gl_0141.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0141.jpg,1
6626,MRI,clean,clean,Tr-gl_0142,Tr-gl_0142.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0142.jpg,1
6627,MRI,clean,clean,Tr-gl_0143,Tr-gl_0143.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0143.jpg,1
6628,MRI,clean,clean,Tr-gl_0144,Tr-gl_0144.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0144.jpg,1
6629,MRI,clean,clean,Tr-gl_0145,Tr-gl_0145.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0145.jpg,1
6630,MRI,clean,clean,Tr-gl_0146,Tr-gl_0146.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0146.jpg,1
6631,MRI,clean,clean,Tr-gl_0147,Tr-gl_0147.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0147.jpg,1
6632,MRI,clean,clean,Tr-gl_0148,Tr-gl_0148.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0148.jpg,1
6633,MRI,clean,clean,Tr-gl_0149,Tr-gl_0149.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0149.jpg,1
6634,MRI,clean,clean,Tr-gl_0150,Tr-gl_0150.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0150.jpg,1
6635,MRI,clean,clean,Tr-gl_0151,Tr-gl_0151.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0151.jpg,1
6636,MRI,clean,clean,Tr-gl_0152,Tr-gl_0152.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0152.jpg,1
6637,MRI,clean,clean,Tr-gl_0153,Tr-gl_0153.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0153.jpg,1
6638,MRI,clean,clean,Tr-gl_0154,Tr-gl_0154.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0154.jpg,1
6639,MRI,clean,clean,Tr-gl_0155,Tr-gl_0155.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0155.jpg,1
6640,MRI,clean,clean,Tr-gl_0156,Tr-gl_0156.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0156.jpg,1
6641,MRI,clean,clean,Tr-gl_0157,Tr-gl_0157.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0157.jpg,1
6642,MRI,clean,clean,Tr-gl_0158,Tr-gl_0158.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0158.jpg,1
6643,MRI,clean,clean,Tr-gl_0159,Tr-gl_0159.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0159.jpg,1
6644,MRI,clean,clean,Tr-gl_0160,Tr-gl_0160.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0160.jpg,1
6645,MRI,clean,clean,Tr-gl_0161,Tr-gl_0161.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0161.jpg,1
6646,MRI,clean,clean,Tr-gl_0162,Tr-gl_0162.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0162.jpg,1
6647,MRI,clean,clean,Tr-gl_0163,Tr-gl_0163.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0163.jpg,1
6648,MRI,clean,clean,Tr-gl_0164,Tr-gl_0164.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0164.jpg,1
6649,MRI,clean,clean,Tr-gl_0165,Tr-gl_0165.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0165.jpg,1
6650,MRI,clean,clean,Tr-gl_0166,Tr-gl_0166.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0166.jpg,1
6651,MRI,clean,clean,Tr-gl_0167,Tr-gl_0167.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0167.jpg,1
6652,MRI,clean,clean,Tr-gl_0168,Tr-gl_0168.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0168.jpg,1
6653,MRI,clean,clean,Tr-gl_0169,Tr-gl_0169.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0169.jpg,1
6654,MRI,clean,clean,Tr-gl_0170,Tr-gl_0170.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0170.jpg,1
6655,MRI,clean,clean,Tr-gl_0171,Tr-gl_0171.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0171.jpg,1
6656,MRI,clean,clean,Tr-gl_0172,Tr-gl_0172.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0172.jpg,1
6657,MRI,clean,clean,Tr-gl_0173,Tr-gl_0173.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0173.jpg,1
6658,MRI,clean,clean,Tr-gl_0174,Tr-gl_0174.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0174.jpg,1
6659,MRI,clean,clean,Tr-gl_0175,Tr-gl_0175.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0175.jpg,1
6660,MRI,clean,clean,Tr-gl_0176,Tr-gl_0176.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0176.jpg,1
6661,MRI,clean,clean,Tr-gl_0177,Tr-gl_0177.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0177.jpg,1
6662,MRI,clean,clean,Tr-gl_0178,Tr-gl_0178.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0178.jpg,1
6663,MRI,clean,clean,Tr-gl_0179,Tr-gl_0179.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0179.jpg,1
6664,MRI,clean,clean,Tr-gl_0180,Tr-gl_0180.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0180.jpg,1
6665,MRI,clean,clean,Tr-gl_0181,Tr-gl_0181.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0181.jpg,1
6666,MRI,clean,clean,Tr-gl_0182,Tr-gl_0182.jpg,glioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\glioma\Tr-gl_0182.jpg,1
6667,MRI,clean,clean,Tr-me_0012,Tr-me_0012.jpg,meningioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\meningioma\Tr-me_0012.jpg,1
6668,MRI,clean,clean,Tr-me_0017,Tr-me_0017.jpg,meningioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\meningioma\Tr-me_0017.jpg,1
6669,MRI,clean,clean,Tr-me_0018,Tr-me_0018.jpg,meningioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\meningioma\Tr-me_0018.jpg,1
6670,MRI,clean,clean,Tr-me_0021,Tr-me_0021.jpg,meningioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\meningioma\Tr-me_0021.jpg,1
6671,MRI,clean,clean,Tr-me_0022,Tr-me_0022.jpg,meningioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\meningioma\Tr-me_0022.jpg,1
6672,MRI,clean,clean,Tr-me_0023,Tr-me_0023.jpg,meningioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\meningioma\Tr-me_0023.jpg,1
6673,MRI,clean,clean,Tr-me_0024,Tr-me_0024.jpg,meningioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\meningioma\Tr-me_0024.jpg,1
6674,MRI,clean,clean,Tr-me_0026,Tr-me_0026.jpg,meningioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\meningioma\Tr-me_0026.jpg,1
6675,MRI,clean,clean,Tr-me_0029,Tr-me_0029.jpg,meningioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\meningioma\Tr-me_0029.jpg,1
6676,MRI,clean,clean,Tr-me_0030,Tr-me_0030.jpg,meningioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\meningioma\Tr-me_0030.jpg,1
6677,MRI,clean,clean,Tr-me_0031,Tr-me_0031.jpg,meningioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\meningioma\Tr-me_0031.jpg,1
6678,MRI,clean,clean,Tr-me_0032,Tr-me_0032.jpg,meningioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\meningioma\Tr-me_0032.jpg,1
6679,MRI,clean,clean,Tr-me_0033,Tr-me_0033.jpg,meningioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\meningioma\Tr-me_0033.jpg,1
6680,MRI,clean,clean,Tr-me_0034,Tr-me_0034.jpg,meningioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\meningioma\Tr-me_0034.jpg,1
6681,MRI,clean,clean,Tr-me_0035,Tr-me_0035.jpg,meningioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\meningioma\Tr-me_0035.jpg,1
6682,MRI,clean,clean,Tr-me_0036,Tr-me_0036.jpg,meningioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\meningioma\Tr-me_0036.jpg,1
6683,MRI,clean,clean,Tr-me_0037,Tr-me_0037.jpg,meningioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\meningioma\Tr-me_0037.jpg,1
6684,MRI,clean,clean,Tr-me_0038,Tr-me_0038.jpg,meningioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\meningioma\Tr-me_0038.jpg,1
6685,MRI,clean,clean,Tr-me_0039,Tr-me_0039.jpg,meningioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\meningioma\Tr-me_0039.jpg,1
6686,MRI,clean,clean,Tr-me_0040,Tr-me_0040.jpg,meningioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\meningioma\Tr-me_0040.jpg,1
6687,MRI,clean,clean,Tr-me_0041,Tr-me_0041.jpg,meningioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\meningioma\Tr-me_0041.jpg,1
6688,MRI,clean,clean,Tr-me_0042,Tr-me_0042.jpg,meningioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\meningioma\Tr-me_0042.jpg,1
6689,MRI,clean,clean,Tr-me_0043,Tr-me_0043.jpg,meningioma,C:\Users\hanna\Lectures\Research_Project\Codes\Dataset\vlm_prompt_dataset\pg_all\MRI\Training\meningioma\Tr-me_0043.jpg,1
